text,clean_text,sentiment
"#soyabean #soya #food #foodie #foodporn #foodphotography #susukedelai #vegan #foodstagram #foodblogger #healthyfood #indianfood #homemade #instafood #soyachunks #tasty #healthy #maize #veganfood #wheat #foodgasm #soyabeans #foodlover #instagram #bhfyp
https://t.co/xYn3EiPSoh",soya be an soy a food foodie foodporn foodphotography vegan foodstagram foodblogger healthy food indian food homemade in sta food soy achunks tasty healthy maize veganfood wheat foodgasm soya be ans foodlover in stag ram,neutral
"@DasShaktikanta I don't know what UR following ? U have to be as strong as you were against @Bajaj_Finserv More terrible than that micro-loan @bandhanbank_in it's not respect for women on stage, not your guideline on stage.I give the names and phone Let's see @bandhanbank_in ?? https://t.co/J3W8evGvmv","i do not know what ur following ? you have to be as strong as you were against more terrible than that micro loan it is not respect for women on stage, not your guideline on stage.i give the names and phone let us see ??",negative
"@milified I agree it's not very difficult same time delicious too. A dish as simple as pasta, grated cheese, olive oil with some chilli flakes tastes real good. But I think as a rule they don't mix butter and cheese in same dish.","i agree it is not very difficult same time delicious too. a dish as simple as pasta, grated cheese, olive oil with some chilli flakes tastes real good. but i think as a rule they do not mix butter and cheese in same dish.",positive
"RT @VIJAY08496369: @Dream11 @ShashwatSahu18 It's not a fair!

It's like a Chetaing Wrong lineup given Dream11 also but you didn't cancel means what's this? Then why you provide lineup in app?

Must cancel otherwise we all go for another apps 

#Cheatingdream11",rt it is not a fair! it is like a chetaing wrong lineup given dream 10 also but you did not cancel means what is this? then why you provide lineup in app? must cancel otherwise we all go for another apps cheating dream 10,negative
"@Dream11 #dream11 #1RS #leage1RS 
Thanks ...for 1rs leage....india vs England...
Plzzz other match .....plzz continue the create the type of leakage 1 rs or 2 rs ...plzz atlist 1 leage create ....
Between thanks for the leage .....",dream 10 10 rs 10 rs thanks ...for 10 rs leage....india vs england... play other match .....plzz continue the create the type of leakage 10 rs or 10 rs ...plzz atlist 10 leage create .... between thanks for the leage .....,neutral
"@odmag @HyundaiIndia Guys grow up..
1) so if anyone wants to have such a splendid view they remain in car full time without getting down ? 
2) what about people sitting in the front ? How would the looks be then ? The same way? Worst review man..",guys grow up.. 10 so if anyone wants to have such a splendid view they remain in car full time without getting down ? 10 what about people sitting in the front ? how would the looks be then ? the same way? worst review man..,negative
"RT @imakshahay: Wonderful job @india_zariya 

80 families given 80 Ration kits of 400kg Rice,wheat,Rin soap, 80kg sugar , oil , groundnut given to ST community 

Food distribution to reach 29,000 meals now 

To help them pls 

To help 

Gpay payTM +91 7030508222

Bank T/F - DM @india_zariya","rt wonderful job 10 families given 10 ration kits of 10 kg rice,wheat,rin soap, 10 kg sugar , oil , groundnut given to st community food distribution to reach 10 , 10 meals now to help them pls to help gpay paytm bank t f dm",positive
"Hey Siri, please play 'Timber' on loop 🎶

Is this the best hat-trick of #ECS21 till now? ☺️

Scores, news, previews 👉 https://t.co/6PLADFbASj 

FanCode ECS Spain Barcelona. 124 matches from Barcelona over 5 weeks! 1000 matches this year. WELCOME TO #ECS21 @FanCode @Dream11 https://t.co/1eHV0KxR5s","hey siri, please play timber on loop 🎶 is this the best hat trick of ecs 10 till now? ☺️ scores, news, previews 👉 fancode ecs spain barcelona. 10 matches from barcelona over 10 weeks! 10 matches this year. welcome to ecs 10",positive
Hi today i went to classic hyundai wynad for my i20 yearly service very good experience from the team very fast and quick service with low charges.They also opened Hmm application in my mobile good experience thankyou hyundai,hi today i went to classic hyundai wynad for my i 10 yearly service very good experience from the team very fast and quick service with low charges.they also opened hmm application in my mobile good experience thankyou hyundai,positive
@HyundaiIndia what is the process of spare parts management carried out by service centers? Any barcode kind with serial number available with spare parts so that it will be easy for owners to ensure the change of components during service.,what is the process of spare parts management carried out by service centers? any barcode kind with serial number available with spare parts so that it will be easy for owners to ensure the change of components during service.,neutral
"@meghn888888 Thank you Meghna....Yes mustard oil is very useful in nasal problems. Ayurved says if mustard oil is applied daily on all openings of the body (nose, lips, ears etcetera) before going to sleep, it keeps the body in good shape...","thank you meghna....yes mustard oil is very useful in nasal problems. ayurved says if mustard oil is applied daily on all openings of the body nose, lips, ears etcetera before going to sleep, it keeps the body in good shape...",positive
"@narendramodi Sir, This Electrifying atmosphere reflects the enthusiasm & support for you from people of bengal at brigade ground. पावन मिट्टी and awesome people of bengal have decided to walk with you on development path. 

#ModirSatheBrigade","sir, this electrifying atmosphere reflects the enthusiasm support for you from people of bengal at brigade ground. पावन मिट्टी and awesome people of bengal have decided to walk with you on development path. modir sathe brigade",positive
"Dream11's first love. 😂

#ipl #ipl2021 #viratkohli #rohitsharma #cricket #dhoni #davidwarner #iplrecords #shikhardhawan #mumbaiindians #srh #kkr #csk #delhicapitals #rajasthanroyals #rcb #kxip #punjabkings #suryakumaryadav #ishankishan #klrahul #jaspritbumrah #dream11 #srk #offihs",dream 10 first love. 😂 ipl ipl 10 vir at kohl i roh it sharma cricket david warner iplrecords shi kha rd haw an mumbai indians csk delhi capitals rajasthan royals punjab kings surya kumar yadav is hank is han dream 10 off ihs,neutral
"bhati_0204 -
Hashtags : #cars #car #jatt #gujjar #xuv#fortunerclub #fortunervrz #ford #fordendeavour#alto w #i20 #swiftlover #swift #fortuner #gurjarcarlover #carloverdone #carlovers #follow #beautiful #desi #ghaziabad #punjabi #tag #alloywheel #nature #likeforlikes #black #carlovers_07",bhati 10 hashtags cars car xuvfor tuner club for d for dendeavouralto w i 10 swift love r swift for tuner carloverdone carlovers follow beautiful des i ghaziabad punjabi tag alloy wheel nature like for likes black carlovers 10,neutral
"@Kingsedibleoils 1. King's Soyabean Oil : Vitamin A, Vitamin D
2. King's Kacchi Ghani Pure Mustard Oil : Rich In Omega 3 and Omega 6 anti Oxidants
3. King's Sunflower Oil : Vitamin A, Vitamin D, Vitamin E
#KingOil #WorldNutritionDay 
#NutritionDay @Kingsedibleoils

@Deepaadhan3 
@SingerUsha09","10 . king soyabean oil vitamin a, vitamin d 10 . king kacchi ghani pure mustard oil rich in omega 10 and omega 10 anti oxidants 10 . king sunflower oil vitamin a, vitamin d, vitamin e king oil world nutrition day nutrition day",neutral
"#Nutrition Facts: #MustardOil is a unique #cooking oil that gives you a #heart tonic, immunity booster, muscle toner, infection fighter, hypertension buster and detoxification treatment – all rolled into one. Amazing #health benefits! https://t.co/b66CMa9gS9","nutrition facts mustard oil is a unique cooking oil that gives you a heart tonic, immunity booster, muscle toner, infection fighter, hypertension buster and detoxification treatment all rolled into one. amazing health benefits!",neutral
"@HomeCredit_In @RBI @scofindia HomeCredit Finance, please do not treat me like an absconder. I have requested in my series of mails that I will make the payment but need some time. Inspite of that, your team keeps on calling me. Disgusting. Enough is enough.","homecredit finance, please do not treat me like an absconder. i have requested in my series of mails that i will make the payment but need some time. inspite of that, your team keeps on calling me. disgusting. enough is enough.",negative
"Dinesh Tyagi CURRENTLY MAKING MONEY ONLINE THROUGHT THE HELP A RELIABLE EXPERT FOREX TRADING MANAGER CALLED ARIA HOLMES. I JUST RECEIVED MY $12,000 PROFIT. CLICK ON THE NAME BELOW TO CONNECT WITH HER 👇👇👇👇👇👇👇👇
Aria Holmes","dinesh tyagi currently making money online throught the help a reliable expert forex trading manager called aria holmes. i just received my 10 , 10 profit. click on the name below to connect with her 👇👇👇👇👇👇👇👇 aria holmes",positive
"@Dream11 Sir I m waiting from more that 60 hours I think dream11 started cheating with their customers 
Sir simply you can check your bank balance and your statement you can find my payment 
But I m sure dream11 started cheating 😓😓😓😓",sir i m waiting from more that 10 hours i think dream 10 started cheating with their customers sir simply you can check your bank balance and your statement you can find my payment but i m sure dream 10 started cheating 😓😓😓😓,negative
Today i have visited badrika hyundai satna for my vechle service and excellent service expireance.and very low cost maintaince and quality repair work.all staff and service advisor very helpfully.thanks badrika hyundai satna w5225,today i have visited badrika hyundai satna for my vechle service and excellent service expireance.and very low cost maintaince and quality repair work.all staff and service advisor very helpfully.thanks badrika hyundai satna w 10,positive
"https://youtu.be/hnRW91M6JSI

This is simple video on how to register for covid vaccination.

Applies to all people.
Now age is restricted
Later that will be lifted off..

Please view it and share to as many as possible.plz get vaccinated as asap",this is simple video on how to register for covid vaccination. applies to all people. now age is restricted later that will be lifted off.. please view it and share to as many as possible.plz get vaccinated as as soon as possible,neutral
"@agilewiz @VijayThuse Life does not stop.. A family must concert on reducing the lifestyle, habit and Luxury expenses. . 
We need Food & Medicines for survival & health not Oil. 
In corona time, lockdowns, we don't have any other choice for extra Expenses.","life does not stop.. a family must concert on reducing the lifestyle, habit and luxury expenses. . we need food medicines for survival health not oil. in corona time, lockdowns, we do not have any other choice for extra expenses.",neutral
"RT @Bhupender9490: @Dream11 @RameshblKumar All most all the players playing @Dream11 are follow only dream11 lineup... If you are not able providing true lineup then why providing lineup... 
U always talk about fair play... What is fair in that... people trust on ur lineup...",rt all most all the players playing are follow only dream 10 lineup... if you are not able providing true lineup then why providing lineup... you always talk about fair play... what is fair in that... people trust on ur lineup...,negative
"#BCCI 
Deliberate promotion of betting site https://t.co/8o3nI8CjOp is going on in #RoadSafetyWorldSeries 
https://t.co/NrU6yCU8B3 is being promoted but net part is so light that Betway is only promoted. Betway is a betting site and I doubt about its legality in India
#Dream11",bcc i deliberate promotion of betting site is going on in road safety world series is being promoted but net part is so light that betway is only promoted. betway is a betting site and i doubt about its legality in india dream 10,neutral
"#SundayFunday #teatime #snack #vegetarian #Punmiaskitchen #gharkakhaana #proteinpacked 
Made protein packed, Soya 65 today. It's a very good alternative for meat based food for vegetarians. Healthy, tasty, and new!
Friends Take care, Stay safe @Chefbhasin
@TheVineetBhatia https://t.co/H9jGgSn0wf","sunday funday tea time snack vegetarian pun mi as kitchen protein packed made protein packed, soya 10 today. it is a very good alternative for meat based food for vegetarians. healthy, tasty, and new! friends take care, stay safe",positive
"Starting off with a bang 💥

Gurwinder Sidhu is making it a habit to hit his first ball a 6⃣

Scores, news, previews 👉 https://t.co/6PLADFbASj 

FanCode ECS Spain Barcelona. 124 matches from Barcelona over 5 weeks! 1000 matches this year. WELCOME TO #ECS21 @FanCode @Dream11 https://t.co/WYqFG2vOk7","starting off with a bang 💥 gurwinder sidhu is making it a habit to hit his first ball a 10 ⃣ scores, news, previews 👉 fancode ecs spain barcelona. 10 matches from barcelona over 10 weeks! 10 matches this year. welcome to ecs 10",positive
@nsitharamanoffc @nsitharaman @bandhanbank_in @PIB_India @MIB_India @FinMinIndia #NirmalaSitharaman you are not efficient in your post why dont you resign have some dignity you are getting highly paid salary from tax payer money #PMCBankCrisis even after @dir_ed seized 10000 cr from culprits you havent bailout #PMCBank @AmitShah @nitin_gadkari @narendramodi,nirmala sitharaman you are not efficient in your post why do not you resign have some dignity you are getting highly paid salary from tax payer money bank crisis even after seized 10 cr from culprits you have not bailout pmc bank,negative
"RT @butaNirav: @Dream11 @organ99mn Hang on, we're not talking about any Lineup feature. @Dream11 check the tweet once again, here we're saying that the haul official lineup was wrong. How could you ignore this? Tell me a one actual reason to not abandoned the match? 👀","rt hang on, we are not talking about any lineup feature. check the tweet once again, here we are saying that the haul official lineup was wrong. how could you ignore this? tell me a one actual reason to not abandoned the match? 👀",negative
"......you think bad about me?
 But still about me!!!💫
.
.
.
.
.
.
.
.
.
.
#trending#likesforlike#workout#sehajzaildar#love#instagram#dslrphotography#editing#fashion#gym#gymmotivation#thoughts#photoshoot#bhai#world#i20#modifiedcars#i20modified",......you think bad about me? but still about me!!!💫 . . . . . . . . . . trend in glikes for like workout love in stag ramdslr photographyeditingfashiongymgymmotivationthoughtsphoto shoot bhai world i 10 modified carsi 10 modified,neutral
"CAT vs GRA Live Score Streaming, Catalunya Tigers vs Gracia Live Cricket Score, Ball By Ball Commentary, Fancode ECS T10 Barcelona
.
.
.
#CATvGRA #Dream11 #Dream11team #Dream11prediction #ECST10 #ECST10League #T10 #T10League https://t.co/01SLzGtGq9","cat vs gra live score streaming, catalunya tigers vs gracia live cricket score, ball by ball commentary, fancode ecs t 10 barcelona . . . catv gra dream 10 dream 10 team dream 10 prediction ecs t 10 ecs t 10 league t 10 t 10 league",neutral
"RT @ashwani_mahajan: Restrictions on Palm oil imports must have been the reason. Cheaper palm oil imports had not only given rise to sale of spurious mustard oil, but also has affected our farmers, as they failed to get good price for their mustard.","rt restrictions on palm oil imports must have been the reason. cheaper palm oil imports had not only given rise to sale of spurious mustard oil, but also has affected our farmers, as they failed to get good price for their mustard.",negative
RT @harsh8848: It’s a pain but can endure....I’ve only rarely charged my car above 90% in any case. I do wish that @Hyundai_Global @HyundaiIndia replace the Kona batteries with bigger capacity ones to compensate their customers and salvage their own reputations somewhat.,rt it is a pain but can endure....i have only rarely charged my car above 10 in any case. i do wish that replace the kona batteries with bigger capacity ones to compensate their customers and salvage their own reputations somewhat.,neutral
"YLANG YLANG OIL is an extremely fragrant essential oil and has a calming effect on the mind and body. 
.
.
.
.
SHOP NOW ▶️ https://t.co/yQQgbRT7iE
#essentialoils #aromatherapy #natural #wellness #healthyliving #health #yoga #meditation #naturalhealth #organic #oils https://t.co/ploxQh0kFw",ylang ylang oil is an extremely fragrant essential oil and has a calming effect on the mind and body. . . . . shop now ▶️ essential oils aromatherapy natural wellness healthy living health yoga meditation naturalhealth organic oils,neutral
"Looking for a home remedy for nausea? Ginger has traditionally been used as a medicinal spice to help soothe digestive problems. Find out how this wonderful essential oil can help you support your health and wellness naturally!

https://t.co/Jd7rE8batI via @lovingeo_com https://t.co/SIYcWaLNL3",looking for a home remedy for nausea? ginger has traditionally been used as a medicinal spice to help soothe digestive problems. find out how this wonderful essential oil can help you support your health and wellness naturally! via,neutral
"What happened with you people when toss was done in two crucial matches india vs eng/WI vs srilanka. I wasn't able to join my teams,after so much of hard work at the end moment your app shows""SORRY THERE IS AN ISSUE"" WHY SO CARELESS @Dream11","what happened with you people when toss was done in two crucial matches india vs eng wi vs srilanka. i was not able to join my teams,after so much of hard work at the end moment your app shows sorry there is an issue why so careless",negative
@Piyu_Nair Good ratio of oil to cakes. I bet cold pressed oil must taste and smell extraordinary. We don't have easy access to such oil here. Wonder if it's worth buying a small table top oil press. Surely better than refined parachute oils.,good ratio of oil to cakes. i bet cold pressed oil must taste and smell extraordinary. we do not have easy access to such oil here. wonder if it is worth buying a small table top oil press. surely better than refined parachute oils.,neutral
"ROY vs LIO, Match 25, Kodak President’s T20 Cup 2021, Pitch Report, Playing XI, Dream11 Prediction, Fantasy Cricket Tips | Penbugs

#Dream11Prediction #MenCricket #FantasyPreview #FantasyCricket #RoyalsvsLions #Presidentst20cup2021 

https://t.co/LPh7fSisPq","roy vs lio, match 10 , kodak president s t 10 cup 10 , pitch report, playing xi, dream 10 prediction, fantasy cricket tips penbugs dream 10 prediction men cricket fantasy preview fantasy cricket royalsvs lions president st 10 cup 10",neutral
"2018 Hyundai i30 SR, ep61

#Hyundai #NPerformance #HyundaiMotorsport #WRC #backinaction #rally #worldchampions #i20 #motorsport #koreancars #i30 #i30N #i30sr #i30FastbackN #i30nline #drivenbyperformance #turbo #boosted #N #petrolhead #hyundaiglobal #keepitkdm #kdm","10 hyundai i 10 sr, ep 10 hyundai hyundai motorsport wrc back in action rally world champions i 10 motorsport korean cars i 10 i 10 n i 10 sr i 10 fastbackn i 10 nline driven by performance turbo boosted n petrol head hyundai global",neutral
"@Dream11 @TFI69597227 #Dream11 
#FantasyCricket
#t10 
#barcelona 
#ECS #ROME
ECS ROME IS SCHEDULED FROM MONDAY 
JOIN THE TELEGRAM ( CHANNEL CREATED ON 8TH MARCH ) 
We provide you the best ECN T10 teams 
( Won 8 small league so far )
.
.
Don't regret 
Join immediately 
https://t.co/utpms3tTHH",dream 10 fantasy cricket t 10 barcelona ecs rome ecs rome is scheduled from monday join the telegram channel created on 10 th march we provide you the best ecn t 10 teams won 10 small league so far . . do not regret join immediately,positive
"@Mayankpareek27 @HyundaiIndia @Hyundai_Global Bergmann Stunner Car Vacuum Cleaner with Stainless Steel HEPA Filter (Black) 
M.R.P.:₹ 2,200.00 Deal Price:₹ 1,699.00 You Save:₹ 501.00 (23%)Inclusive of all taxes
#shoppingonline #VaathiComing100Mviews
#VakeelSaab #Nammakarnataka https://t.co/fJ32N4F9rQ","bergmann stunner car vacuum cleaner with stainless steel hepa filter black m.r.p. 10 , 10 . 10 deal price 10 , 10 . 10 you save 10 . 10 10 inclusive of all taxes shopping online vaathi coming 10 mviews vakeel saab nam mak arn at aka",neutral
Hyundai India I recently visited to Modi Hyundai chunabhatti workshop was a very nice experience also satisfied with the service all staff were so supportive and maintenance cost was at a very reasonable price thank you team Modi😄👍,hyundai india i recently visited to modi hyundai chunabhatti workshop was a very nice experience also satisfied with the service all staff were so supportive and maintenance cost was at a very reasonable price thank you team modi😄👍,positive
Hello Sir I have bought a new creta few months back and the registration number is HR981784. I am facing lots of issues in the car and nobody is helping me since a long time. I request to you please help me in this situation. Thank you,hello sir i have bought a new creta few months back and the registration number is hr 10 . i am facing lots of issues in the car and nobody is helping me since a long time. i request to you please help me in this situation. thank you,negative
"JATTLYF👑🚩
jaatni.8535 

#WEAREJAT #JAT #JAATNI #BHAICHARA #HARYANA #CAR #CARLOVER #I20 #TRYE #AUDI #ALTO #VARNA #SPEED#DELHI #JAIPUR #RAJSTHAN #JATGROUP #MODIFIED #XUV #SCORPIO #FORTUNER #FORTUNERLOVER #INSTAGRAM #INSTALOVE #LUXURYLIFESTYLE #FRNDS #SWIFT #DESI #JATRAJ #FOLLOWME",jattlyf👑🚩 jaatni. 10 bhai char a haryana car carlover i 10 try e audi alto varna speeddelhi jaipur raj sth an group modified xuv scorpio for tuner for tunerlover instagram instalove luxury lifestyle frnd s swift des i raj follow me,neutral
Got grand i10 service from dee emm hyundai idc Gurgaon and very good and delightful experience with low cost of maintaining.staff was very humble and supportive got on time delivery of vehicle Dee Emm HyundaiHyundai India #HyundaiLCM,got grand i 10 service from dee emm hyundai idc gurgaon and very good and delightful experience with low cost of maintaining.staff was very humble and supportive got on time delivery of vehicle dee emm hyundaihyundai india hyundai lcm,positive
"@CarWale @HyundaiIndia And while parking also mindful about the traffic behind you. 
Bcos there is possibility some A***** on an activa or passion following you within millimeter of distance and if you slow down the schmuck might dash your bumper or back door.... :)",and while parking also mindful about the traffic behind you. bcos there is possibility some a on an activa or passion following you within millimeter of distance and if you slow down the schmuck might dash your bumper or back door....,neutral
"Ind vs Eng 2nd ``T20 Dream 11 Prediction- Best tips for Dream Team for Halaplay, Dream11 and My fab 11. https://t.co/oPObEjeO0o 
#Dream11 #INDvsENG #indvsEngT20series2021 #indvsengdream11team #Dream11Team #indvsengtodaymatch #indvseng2ndt20","ind vs eng 10 nd t 10 dream 10 prediction best tips for dream team for halaplay, dream 10 and my fab 10 . dream 10 in dvs eng in dvs eng t 10 series 10 in dvs eng dream 10 team dream 10 team in dvs eng to day match in dvs eng 10 ndt 10",neutral
"@hyundaiindia
Today I visited bigwig Hyundai Nagpur for My I20 car AC service. My experience was too good with the way the staff handled my query. It was so quick and efficient.. My congratulations to the team for winning a client and good wishes..",today i visited bigwig hyundai nagpur for my i 10 car ac service. my experience was too good with the way the staff handled my query. it was so quick and efficient.. my congratulations to the team for winning a client and good wishes..,positive
"@dineshwadera @RahulGandhi Late fine from gst & others
I think that will be enough more....or not?
then
Even government has taken surplus funds from RBI 
Will it be enough or more money is required?
Then see the prices of petroleum products as well as Mustard oil..",late fine from gst others i think that will be enough more....or not? then even government has taken surplus funds from rbi will it be enough or more money is required? then see the prices of petroleum products as well as mustard oil..,neutral
"Here is the Best Dream11 Team for Today IND vs ENG 2nd T20I🏏🇮🇳

#VijayHazareTrophy2021 #MUMvUP #PrithviShaw #MumbaiCityFC #UPvsMUM #Adityatare #INDvENG #INDvsENG #INDvEND #INDvsENG_2021 #T20I #TeamIndia #ViratKohli #RohitSharma #FantasyCricket 

https://t.co/Om54OF2tep",here is the best dream 10 team for today ind vs eng 10 nd t 10 i🏏🇮🇳 vijay hazare trophy 10 prithvi shaw mumbai city ad ity at are ind ven g in dvs eng ind ve nd in dvs eng 10 t 10 i teamindia virat kohli rohit sharma fantasy cricket,positive
"1. King's Soyabean Oil : Vitamin A , Vitamin D.
2. King's Kacchi Ghani Pure Mustard Oil : Rich In Omega 3 and Omega 6 anti Oxidants.
3. King's Sunflower Oil : Vitamin A , Vitamin D,Vitamin E.
@Kingsedibleoils 
#KingOil #WorldNutritionDay 
#NutritionDay
Join
@VHetal @Aritri_007","10 . king soyabean oil vitamin a , vitamin d. 10 . king kacchi ghani pure mustard oil rich in omega 10 and omega 10 anti oxidants. 10 . king sunflower oil vitamin a , vitamin d,vitamin e. king oil world nutrition day nutrition day join",neutral
"Never take loan from this lender, very high interest rate, if you take 1 lakh loan your repayment amount is 1.95lakhs, this type of interest rates is not acceptable, beware... we're already taken loan here and end with a huge loss","never take loan from this lender, very high interest rate, if you take 10 lakh loan your repayment amount is 10 . 10 lakhs, this type of interest rates is not acceptable, beware... we are already taken loan here and end with a huge loss",negative
"Daily Commodity Performance Report

Highlights of the Report

· NCDEX Soybean, Soy oil rise on tight supply, global recovery; Turmeric down on profit sales
· NCDEX Chana, COCUD down on long unwinding; Kapas, Guar, Castor ends up on dip buy…https://t.co/b6xfzCJ733","daily commodity performance report highlights of the report · ncdex soybean, soy oil rise on tight supply, global recovery turmeric down on profit sales · ncdex chana, cocud down on long unwinding kapas, guar, castor ends up on dip buy…",neutral
"Enjoy the soya chop stick taste and texture sitting at your home with free home delivery that full with plant based protein and so many other nutrients. 

#VEZLAYFOODS #healthy #protein #Soya #vezlay #vegan #veganfood #recipes #vezlayproducts https://t.co/8BxOdkymoZ",enjoy the soya chop stick taste and texture sitting at your home with free home delivery that full with plant based protein and so many other nutrients. vez lay foods healthy protein soy a vez lay vegan veganfood recipes vez layproducts,neutral
"@Parth98334910 @Dream11 ECS Rome T10 
Guaranteed winnings 
Join the prime group 
Full research done 
European cricket t10 expert 
At very very cheap rate
Best part is no one knows the ECS teams 
Tomorrow is the day
#D
#fantasycricket 
#t10 
( Won 8 small league so far ) https://t.co/utpms3tTHH",ecs rome t 10 guaranteed winnings join the prime group full research done european cricket t 10 expert at very very cheap rate best part is no one knows the ecs teams tomorrow is the day d fantasy cricket t 10 won 10 small league so far,positive
"@ashishpunia94 @omprakashbanja2 @Dream11 @rishi_1905 @Haiwaaaan @nikhil619_ @GrandLeagueGuru Waste of time bro. Playing grand league's in @Dream11 also need new platform to invest. Price break up good for only who get 1st price. Others will go with investment money. Bad type of content GL.
Suggest best platform for cricket and football.",waste of time bro. playing grand league in also need new platform to invest. price break up good for only who get 10 st price. others will go with investment money. bad type of content gl. suggest best platform for cricket and football.,negative
Hyundai India HMP Service today I visited hmp service ekkaduthangal. Excellent service repair quality and low maintenance cost. Service advisor very well explained. Delighted with overall experience love u Hyundai 😍 thanks hmp service,hyundai india hmp service today i visited hmp service ekkaduthangal. excellent service repair quality and low maintenance cost. service advisor very well explained. delighted with overall experience love you hyundai 😍 thanks hmp service,positive
"@HyundaiIndia
I visit today Prestige Hyundai Faridabad 
I am fully satisfied for service work Service HD Mr. Ved Prakash is very Good Person and he is fully support to me and service advisor Mr. Roshan is very Good Attending and My experience excellent",i visit today prestige hyundai faridabad i am fully satisfied for service work service hd mr. ved prakash is very good person and he is fully support to me and service advisor mr. roshan is very good attending and my experience excellent,positive
"RT @Ashok90453604: Home credit you continuously calling me from morning 8 Am to night 9pm from last week, By this harassment did you get money?? Answer Is No, because if I have money, no need to call me, As I said I am in financial crisis, Understand @HomeCredit_In @RBI","rt home credit you continuously calling me from morning 10 am to night 10 pm from last week, by this harassment did you get money?? answer is no, because if i have money, no need to call me, as i said i am in financial crisis, understand",negative
RT @vis2404: @Hyundai_Global @HyundaiIndia you people making fool. If you are not able to handle good customer service then why are you giving me sympathy. Hyundai service center destroy my new car. Thanks to hundai who teaches me . I will never purchase Hyundai's car in future. https://t.co/54ahIGXlCE,rt you people making fool. if you are not able to handle good customer service then why are you giving me sympathy. hyundai service center destroy my new car. thanks to hundai who teaches me . i will never purchase hyundai car in future.,negative
"This is to inform you regarding my order no. 58501...it has been 6 days and still not dispatched, nobody answers the calls nor do you call back...very unprofessional, if you cannot deliver it urgently then please cancel and refund my order","this is to inform you regarding my order no. 10 ...it has been 10 days and still not dispatched, nobody answers the calls nor do you call back...very unprofessional, if you cannot deliver it urgently then please cancel and refund my order",negative
"Extra Virgin Olive Oil - Cold pressed 
Pure Olive Oil - Refined.

Extra Light Olive Oil will have Pure ( approx. 96%) & 4% Virgin Oil

These are just mandatory disclosures on labels that are on 'back of pack' so that the brand adheres to technical norms 

https://t.co/oCjNGektsc",extra virgin olive oil cold pressed pure olive oil refined. extra light olive oil will have pure approx. 10 10 virgin oil these are just mandatory disclosures on labels that are on back of pack so that the brand adheres to technical norms,neutral
"#picksoftheweek March 30, 2021 - April 2, 2021

#SIHL #BSE #NSE #StockMarket #stockmarkets #stockmarketnews #investment #investments #Sensex #nifty50 #investors #Nifty #shahinvestors #shahinvestor #StocksInFocus #SWSolar #BandhanBank #APLLTD #GodrejCP #concor https://t.co/i3RJ5MLAkM","picks of the week march 10 , 10 april 10 , 10 bse nse stock market stock markets stock market news investment investments sense x nifty 10 investors nifty shah investors shah investor stocks in focus sws ola r bandhan bank apl ltd conc or",neutral
"Finest quality mustard oil.

https://t.co/ejUetQmG6N⁠ #nutrition #raw #cookingoil #healthyoil #oilbenefits #oilforhealth #naturalproduct #amazon #bigbasket #coldpressedoil #sandwich #salad #skincare #haircare #carrieroils #vitamins #gourmet #instafood #pure #purnafoods #purna https://t.co/jKE8vKa0cJ",finest quality mustard oil. nutrition raw cooking oil healthy oil oil benefits oil for health natural product amazon big basket cold pressed oil sandwich salad skincare haircare carrier oils vitamins gourmet in sta food pure pur naf ood s,neutral
"40 % OFF TODAY..Check out Borges Olive Oil Extra Light Flavours of Olives, 5L by Borges https://t.co/rPxDEnJ0KA via @amazon 
#oliveoil #health #etsy #nutrition #cardio #olives #food #healthbenefits #garlic #cook #journorequest #italianoliveoil #healthy #salt #omega3 #antioxidants","10 off today..check out borges olive oil extra light flavours of olives, 10 l by borges via olive oil health ets y nutrition cardio olives food healthbenefits garlic cook jour no request italiano live oil healthy salt omega 10 antioxidants",neutral
"@Kingsedibleoils 1. King's Soyabean Oil : Vitamin A , Vitamin D.
2. King's Kacchi Ghani Pure Mustard Oil : Rich In Omega 3 and Omega 6 anti oxidants . 
3. King's Sunflower Oil : Vitamin A , Vitamin D , Vitamin E.
#KingsOil #WorldNutritionDay 
#NutritionDay 
@Kingsedibleoils
Join
@Fariha_Ashiya","10 . king soyabean oil vitamin a , vitamin d. 10 . king kacchi ghani pure mustard oil rich in omega 10 and omega 10 anti oxidants . 10 . king sunflower oil vitamin a , vitamin d , vitamin e. kings oil world nutrition day nutrition day join",neutral
"RT @XHNews: To reduce dependency on foreign edible oil and boost exports, the Pakistani government takes exceptional measures to promote olive cultivation, which will greatly help improve rural economy and create employment opportunities for locals https://t.co/Nl8Yn7Rq1k https://t.co/I7DStLwRG9","rt to reduce dependency on foreign edible oil and boost exports, the pakistani government takes exceptional measures to promote olive cultivation, which will greatly help improve rural economy and create employment opportunities for locals",positive
"RT @iAsura_: So the Soyabean Baba who is a key player in creating edible oil triopoly in India & who goes to AIIMS & Medanta for treatment, is badmouthing allopathy to convince his audience of wildebeests who are consumers of his herbs! #YeaBhiTheekHai","rt so the soyabean baba who is a key player in creating edible oil triopoly in india who goes to aiims medanta for treatment, is badmouthing allopathy to convince his audience of wildebeests who are consumers of his herbs! yea bhi theek hai",negative
